fullname,full_address,gpt-response
"Key Laboratory of Carbohydrate Chemistry and Biotechnology Ministry of Education, State Key Laboratory of Food Science and Technology, Collaborative Innovation Center for Food Safety and Quality Control, Jiangsu Province","Wuxi, Jiangsu, China",Jiangnan University
Protein Science Laboratory of the Ministry of Education,"Beijing 100084, China",Tsinghua University
"Key Laboratory of Brain, Cognition and Education Sciences, Ministry of Education","Guangzhou, 510599, China",South China Normal University
"Key Laboratory of Synergetic and Biological Colloids, Ministry of Education","1800 LiHu Avenue, Wuxi, 214122, Jiangsu Province, China",Unknown
"Non-Equilibrium Condensed Matter and Quantum Engineering Laboratory, Key Laboratory of Ministry of Education","Xi'an, Shaanxi 710049, China",Northwestern Polytechnical University
"School of Chemistry, Beijing Institute of Technology and Key Laboratory of Cluster Science, Ministry of Education","Beijing, 100081, China",Beijing Institute of Technology
Joint International Research Laboratory of Atmospheric and Earth System Sciences of Ministry of Education,"Nanjing, China",Nanjing University
"Key Laboratory of Cluster Science, Ministry of Education, School of Chemistry and Chemical Engineering, Beijing Institute of Technology","5 South Zhongguancun Street, Haidian District Beijing, 100081, China",Beijing Institute of Technology
Key Laboratory of Renewable Energy Utilization Tech. in Buildings of the National Education Ministry,"Jinan 250101, China",Shandong Jianzhu University
Key Lab of the Ministry of Education for Process Control and Efficiency Engineering,"Xian, Shaanxi 710049, NO.28 Xiannin West Road, China",Xi'an Jiaotong University
Ministry of Education Key Lab for Intelligent Networks and Network Security,"Xi'an, 710049, China",Unknown
"Department of Chemistry, Ministry of Education","Shanghai, 200433, China",Unknown
"Key Laboratory of Meat Processing and Quality Control, Ministry of Education, Jiangsu Synergetic Innovation Center of Meat Production and Processing","Nanjing, Jiangsu, China",Nanjing Agricultural University
Key Laboratory of Heavy-duty Railway Engineering Structure of Ministry of Education,"Changsha, China",Central South University
"Key Laboratory of Universal Wireless Communications, Wireless Technology Innovation (WTI) Institute, Ministry of Education",China,Beijing University of Posts and Telecommunications
Ministry of Education,"School of Computer Science and Engineering and Key Laboratory of Machine Intelligence and Advanced Computing, Sun Yat-sen University, Guangzhou, China",Sun Yat-sen University
"Ministry of Education Key Laboratory of Child Development and Disorders, Chongqing Key Laboratory of Pediatrics, Chongqing International Science and Technology Cooperation Center for Child Development and Disorders","Chongqing, China",Chongqing Medical University
"Key Laboratory of Urban Stormwater System, Water Environment/R and D Centre for Sustainable Environmental Biotechnology, (Beijing Univ. of Civil Engineering and Architecture), Ministry of Education","Beijing 100044, China",Beijing University of Civil Engineering and Architecture
"Key Laboratory for Biopesticide and Chemical Biology, Ministry of Education, Institute of Plant Virology","Fuzhou 350002, China",Fujian Agriculture and Forestry University
"Key Laboratory of Superlight Materials and Surface Technology, Ministry of Education, College of Materials Science and Chemical Engineering","Harbin, Heilongjiang, 150001, China",Harbin Engineering University
"Key Laboratory of Opto-Electronics Information Science and Technology, Ministry of Education, College of Precision Instrument and Opto-Electronics Engineering","Tianjin, 300072, China",Tianjin University
"Dept. of Civil Engineering, Education Ministry, Tsinghua Univ.","Beijing 100084, China",Tsinghua University
"Oncology Research Lab., Key Laboratory of Environment and Genes Related to Diseases, Ministry of Education","Shaanxi, Xi’an, 710061, China",Xi'an Jiaotong University
Key Lab of Fluorine and Silicon for Energy Materials and Chemistry of Ministry of Education,China,Unknown
"Key Laboratory of Smart Drug Delivery, Ministry of Education and PLA","Shanghai, 201203, China",Unknown
"Institute of Modern Separation Science, Key Laboratory of Synthetic and Natural Functional Molecule Chemistry, Ministry of Education","Xi'an, 710069, China",Northwest University
"College of Animal Science and Technology, Key Laboratory of Animal Products Processing, Ministry of Agriculture, Key Laboratory of Meat Processing and Quality Control, Ministry of Education, Jiangsu Collaborative Innovation Center of Meat Production and Processing, Quality and Safety Control, Nanjing Agricultural Univ","Nanjing, 210095, China",Nanjing Agricultural University
"Key Laboratory for Yellow River and Huai River Water Environment and Pollution Control, Ministry of Education","Xinxiang 453007, China",Henan Normal University
"Key Laboratory of Measurement and Control of Complex Systems of Engineering, Ministry of Education","Nanjing, 210024, China",Southeast University
"Key Laboratory of Environmental Medicine Engineering, Ministry of Education, Jiangsu Province Hi-Tech Key Laboratory for Bio-medical Research","Nanjing, 210096, China",Southeast University
"Key Laboratory of Intelligent Computing Signal Processing, Ministry of Education","Hefei, 230039, China",University of Science and Technology of China
"Key Laboratory of Structural Engineering and Earthquake Resistance, Ministry of Education(XAUAT)","Xi'an, 710055, China",Xi'an University of Architecture and Technology
"Key Laboratory of Modern Teaching Technology, Ministry of Education","Xi'an, Shaanxi, 710016, China",Unknown
"Key Laboratory of Autonomous Systems and Network Control, Ministry of Education","Guangzhou 510640, China",Unknown
"Ministry of Education Key Laboratory for Bio-resource and Eco-environment, College of Life Science, State Key Laboratory of Biotherapy","Chengdu, 610064, China",Sichuan University
"Key Laboratory for Modern Traditional Chinese Medicine, Ministry of Education","Nanjing 211198, China",Nanjing University of Chinese Medicine
"Key Lab of Structures Dynamic Behaviour and Control (Harbin Institute of Technology), Ministry of Education","Harbin, Heilongjiang, 150090, China",Harbin Institute of Technology
"HPCSIP Key Laboratory, Ministry of Education","Changsha, 410081, China",Unknown
"Key Laboratory of advanced optoelectronic quantum architecture and measurements of Ministry of Education, Beijing Key Laboratory of Nanophotonics & Ultrafine Optoelectronic Systems, School of Physics, Beijing Institute of Technology","No. 5, South Street, Zhongguancun, Haidian District, Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of Safe and Effective Coal Mining, Education Ministry","Huainan 232001, Anhui, China",China University of Mining and Technology
"Key Laboratory Forest Resources Conservation and Utilization in the Southwest Mountains of China, Ministry of Education","Yunnan, Kunming, 650224, China",Southwest Forestry University
"Key Laboratory for Green Chemical Process of Ministry of Education, Hubei Key Laboratory of Novel Reactor and Green Chemical Technology, School of Chemical Engineering & Pharmacy, School of Mechanical & Electrical Engineering, Wuhan Institute of Technology","Wuhan, 430205, China",Wuhan Institute of Technology
"Beijing Area Major Laboratory of Peptide and Small Molecular Drugs, Engineering Research Center of EndogenousProphylactic of Ministry of Education of China, Beijing Laboratory of Biomedical Materials, Beijing Laboratory of Oral Health","Beijing, 100069, China",Unknown
"Key Laboratory of Cluster Science of Ministry of Education, Department of Chemistry, School of Science","Beijing 100081, China",Beijing Institute of Technology
"Lab. of Elec. Proc. of Mater., Ministry of Educ., Northeastern Univ.","Shenyang 110004, China",Northeastern University
"Laboratory of Bioactive Substances and Resource Utilization of Chinese Herbal Medicine, Ministry of Education",China,Unknown
Engineering Research Center of Seafood of Ministry of Education of China,"Dalian Liaoning, 116034, China",Dalian Polytechnic University
"Key Laboratory of Theoretical Organic Chemistry and Functional Molecule of Ministry of Education, Hunan Provincial Key Lab of Advanced Materials for New Energy Storage and Conversion","Xiangtan, Hunan, China",Xiangtan University
"Institute of Molecular Science, Key Laboratory of Chemical Biology and Molecular Engineering, Ministry of Education","Taiyuan, 030006, Wucheng Road 92, China",Shanxi University
"Educ. Min. Key Lab. Sci. Technol. C., Beijing Univ. of Chemical Technology","Beijing 100029, P.O. Box 98, China",Beijing University of Chemical Technology
Engineering Research Center of Digital Forensics Ministry of Education,"Nanjing, 210044, China",Nanjing University of Information Science and Technology
"Engneering Research Center for Exploitation and Utilization of Phosphorous Resources, Ministry of Education","Wuhan, 430073, China",China University of Geosciences
"Qinghai Academy of Animal and Veterinary Sciences, Key Laboratory of Alpine Grassland Ecosystem, Ministry of Education","Xining, 810016 Qinghai, China",Qinghai University
"Key Laboratory for Green Chemical Process of Ministry of Education, School of Chemical Engineering and Pharmacy, Wuhan Institute of Technology","693 Xiongchu Avenue, Wuhan, 430073, Hubei, China",Wuhan Institute of Technology
The Key Laboratory of Integrated Management of Crop Diseases and Pests (Ministry of Education),"Jiangsu, Nanjing, China",Nanjing Agricultural University
"Key Laboratory of Acoustic and Photonic Material and Device, Ministry of Education","Wuhan 430072, China",Wuhan University
Key Laboratory for Advanced Materials Processing Technology China Ministry of Education,"Beijing 100084, China",Tsinghua University
"School of Life Science, Key Laboratory of Biomimetic Robots and Systems, Ministry of Education, Beijing Institute of Technology","Haidian District, Beijing, China",Beijing Institute of Technology
"School of Pharmacy, Engineering Research Center of Pharmaceutical Process Chemistry, Ministry of Education","Shanghai, 200237, 130 Meilong Road, China",Shanghai Jiao Tong University
Key Laboratory of Ministry of Education,"Lanzhou, 730050, China",Lanzhou University
Key Laboratory of Western Mines and Hazard Prevention (Ministry of Education of China),"Xi’an, 710054, China",Xi'an University of Science and Technology
"Key Laboratory of Molecular Cardiovascular Sciences, Ministry of Education and Beijing Key Laboratory of Cardiovascular Receptors Research","Beijing 100191, China",Unknown
Engineering Research Center of Digital Instrumentation for Process Industries (Ministry of Education),"Shenyang, 110819, China",Northeastern University
"Key Laboratory of Functional Polymer Materials, Ministry of Education of China, Institute of Polymer Chemistry","Tianjin, 300071, China",Nankai University
"The Key Laboratory of Myocardial Ischemia, Ministry of Education, Heilongjiang Province","Harbin, China",Harbin Medical University
"Key Laboratory of Optoelectronic Information Science and Technology, Ministry of Education of China","Tianjin 300071, China",Tianjin University
"Key Laboratory of Optoelectronics Information Science and Technology, Ministry of Education","Tianjin 300072, China",Tianjin University
"The Key Laboratory of Applied Ion Beam Physics, Ministry of Education","Shanghai, 200433, China",Unknown
"Key Laboratory of Deep Coal Resource Mining, Ministry of Education","Xuzhou 221116, China",China University of Mining and Technology
"Key Laboratory of Wide Bandgap Semiconductor Materials, Ministry of Education","Xi'an, 710071, China",Xi'an Jiaotong University
Key Laboratory of Advanced Control and Optimation for Chemical Processes of Ministry of Education,"Shanghai 200237, China",East China University of Science and Technology
"Key Laboratory of Drug Targeting and Drug Delivery System, Ministry of Education of P.R. China","Chengdu, Sichuan 610041, China",Sichuan University
Key Lab. of 3D Information Acquisition and Application of Education Ministry,"Beijing, 100037, 105, Xi San Huan Bei Lu, China",Unknown
"Key Laboratory of Mining Coal Safety, Anhui Province, Ministry of Education","232001 Huainan, Anhui, China",Anhui University of Science and Technology
"R and D Center for Mold and Molding Technology, Ministry of Education",Taiwan,Unknown
"Key Laboratory of Animal Genetics, Breeding and Reproduction in the Plateau Mountainous Region, Ministry of Education","Guiyang 550025, China",Unknown
"Ministry of Education Key Laboratory of Child Development and Disorders, Chongqing Key Laboratory of Child Health and Nutrition","Chongqing, China",Unknown
"Key Laboratory of Cluster Science of Ministry of Education, Beijing Key Laboratory of Photoelectronic/ Electrophotonic, School of Chemistry and Chemical Engineering, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"School of Chemistry and Chemical Engineering, Key Laboratory of Micro-systems and Micro-structures Manufacturing, Ministry of Education, Harbin Institute of Technology","Harbin, 150001, China",Harbin Institute of Technology
"Key Laboratory for Green Chemical Process, Ministry of Education, Hubei Key Laboratory for Novel Reactor and Green Chemistry Technology, School of Chemical Engineering and Pharmacy, Wuhan Institute of Technology","693 Xiongchu Avenue, Wuhan, 430073, China",Wuhan Institute of Technology
"State Key Laboratory of High-Efficient Mining and Safety of Metal Mines, Univ. of Science and Technology Beijing, Ministry of Education","Beijing, 100083, China",University of Science and Technology Beijing
"Key Laboratory for Thin Film and Micro-fabrication Technology, Ministry of Education, Research Institute of Micro/Nanometer Science and Technology",China,Unknown
"Engineering Research Center of Metallurgical Energy Conservation and Emission Reduction, Ministry of Education","Yunnan, Kunming, 650000, China",Kunming University of Science and Technology
"Shanghai Key Laboratory of Modern Optical System, Optical Instrument and Systems Engineering Centre of the Ministry of Education","Shanghai, 200093, China",University of Shanghai for Science and Technology
Key Lab. of Symbolic Computation and Knowledge Engineering Ministry of Education,"Changchun 130012, China",Jilin University
Engineering Research Center of Representative Building and Architectural Heritage Database Ministry of Education,"Beijing, China",Unknown
"The Key Laboratory for Silviculture and Conservation of the Ministry of Education, Beijing Forestry Universit","Beijing, 100083, China",Beijing Forestry University
"Key Laboratory of Wind and Solar Energy Utilization Technology, Ministry of Education",China,Unknown
"Engineering Research Center of Zero-Carbon Energy Buildings and Measurement Techniques, Ministry of Education","Baoding, China",Hebei University of Technology
"Key Lab Sci. Technol. C., Ministry of Education, Beijing Univ. of Chemical Technology","Beijing 100029, China",Beijing University of Chemical Technology
"Department of Chemical Engineering for Energy Resources, Key Laboratory of Coal Gasification, Ministry of Education","200237 Shanghai, China",Unknown
"State Key Laboratory of Hydrology-Water Resources and Hydraulic Engineering, Hohai Univ., Ministry of Education","Nanjing, China",Hohai University
"Key Laboratory of High Altitude Medicine, Ministry of Education, Key Laboratory of Application and Foundation for High Altitude Medicine Research in Qinghai Province, Qinghai-Utah Joint Research Key Lab for High Altitude Medicine","Xining, 810001, China",Unknown
"Key Laboratory of Southwest Resources Development and Environmental Disaster Control Engineering, Ministry of Education","Chongqing 400030, China",Chongqing University
"Key Laboratory of Environment and Genes Related to Diseases, Xi'an Jiaotong Univ., Ministry of Education of China",China,Xi'an Jiaotong University
"College of Chemistry and Chemical Engineering, Key Laboratory of Marine Chemistry Theory and Technology, Ministry of Education","Qingdao 2661002, China",Ocean University of China
"Engineering Research Center of Building Energy-efficient Control and Evalution, Ministry of Education","Hefei 230022, China",Unknown
"Key Laboratory for Green Chemical Process of Ministry of Education, Hubei Key Laboratory for Novel Reactor and Green Chemistry Technology, Hubei Engineering Research Center for Advanced Fine Chemicals, School of Chemical Engineering and Pharmacy, Wuhan Institute of Technology","LiuFang Campus, No.206, Guanggu 1st road, Hubei, Wuhan, 430073, China",Wuhan Institute of Technology
Key Laboratory of Mechanism Theory and Equipment Design of Ministry of Education,"Tianjin, China",Tianjin University
"College of Light Industry and Food Sciences, Ministry of Education Engineering Research Center of Starch andProtein Processing, Guangdong Province Key Laboratory for Green Processing of Natural Products and Product Safety","Guangzhou 510640, China",South China University of Technology
"Key Lab. of Spatial Data Mining and Information Sharing of Ministry of Education, Spatial Information Research Center, Fuzhou Univ.","Fuzhou 350002, China",Fuzhou University
"Key Laboratory of Medicinal Resources and Natural Pharmaceutical Chemistry, Ministry of Education","Xi’an, 710119, China",Unknown
"Key Laboratory of Artificial Micro- and Nano-Structures of the Ministry of Education, Department of Electronic Science and Technology, School of Physics and Technology","Wuhan 430072, China",Wuhan University
"Northwest Key Laboratory of Water Resource and Environment Ecology, Ministry of Education, Xi'an Univ. of Technology","Xi'an 710048, China",Xi'an University of Technology
"The Key Laboratory Microbial Resources, Ministry of Education",China,Unknown
"Key Laboratory of Advanced Technologies of Materials, Ministry of Education","Chengdu Sichuan, 610031, China",Sichuan University
"Key Laboratory of Eco-chemical Engineering, Ministry of Education","Qingdao, China",Qingdao University of Science and Technology
"Department of Psychology, Key Laboratory on Machine Perception, Ministry of Education","Beijing, China",Peking University
"Department of Rheumatology and Clinical Immunology, Peking Union Medical College Hospital, Ministry of Education","No. 41 Da Mu Cang, Western-District-Beijing, 100032, China",Peking Union Medical College
"Engineering Research Center of Road Traffic Safety and Environment, Ministry of Education","Shanghai, China",Shanghai University
"Key Laboratory of Road and Traffic Engineering, Ministry of Education, China School of Transportation Engineering, Tongji Univ.","4800 Cao'an Rd, Shanghai, China",Tongji University
"Key Laboratory of Advanced Technologies of Materials, Ministry of Education, Tribology Research Institute","Chengdu, 610031, China",Unknown
"Key Laboratory of Inorganic-Organic Hybrid Functional Material Chemd Istry, Ministry of Education","Tianjin, 300387, China",Tianjin University
Key Lab. of Ministry of Education for Medicinal Plant Resources and Natural Pharmaceutical Chemistry,"Xi'an 710062, China",Shaanxi Normal University
"Key Laboratory of Material Chemistry for Energy Conversion and Storage, Ministry of Education, Hubei Key Laboratory of Material Chemistry and Service Failure, School of Chemistry and Chemical Engineering","Wuhan, 430074, China",Huazhong University of Science and Technology
"Key Laboratory of Road and Traffic Engineering, Ministry of Education, Tongji Univ.","No. 4800, Cao'an Highway, Shanghai, 201804, China",Tongji University
"Key Laboratory of Advanced Perception and Intelligent Control of High-end Equipment, Chinese Ministry of Education","Wuhan, 241000, China",Huazhong University of Science and Technology
Key Lab of Structures Dynamic Behavior and Control of the Ministry of Education,"Harbin Institute of Technology, Harbin, 150090, China; School of Civil Engineering, Harbin Institute of Technology, Harbin, 150090, China",Harbin Institute of Technology
"Key Lab. of New Technol. for Construction of Cities in Mountain Area(Chongqing Univ.), Ministry of Education","Chongqing 400045, China",Chongqing University
Key Laboratory of Poyang Lake Environment and Resource Utilization of Ministry of Education,"Nanchang, 330031, China",Nanchang University
"Key Laboratory of Eco-environments in Three Gorges Reservoir Region, Ministry of Education","Chongqing, 400045, China",Chongqing University
"Engineering Research Center of Environment-Friendly Functional Materials, Ministry of Education","668 Jimei Avenue, Xiamen, Fujian, 361021, China",Jimei University
"Key Laboratory for Green Chemical Process of Ministry of Education Hubei Key Laboratory for Novel Reactor and Green Chemistry Technology, School of Chemical Engineering and Pharmacy Wuhan Institute of Technology","No. 206 Guanggu 1st Road, Wuhan, 430205, China",Wuhan Institute of Technology
"Key Laboratory of Cluster Science (Ministry of Education) and Beijing Key Laboratory of Photoelectronic and Electrophotonic Conversion Materials, School of Chemistry and Chemical Engineering, Beijing Institute of Technology","Beijing, China",Beijing Institute of Technology
Key Laboratory for Spacecraft TT&C and Communication under the Ministry of Education,"Chongqing, 400044, China",Unknown
"Key Laboratory of Cardiovascular Remodeling and Function Research, Chinese Ministry of Education, Chinese Ministry of Public Health","Ji'nan, 250012, China",Shandong University
"National Engineering Laboratory for Non-Destructive Testing and Optoelectronic Sensing Technology and Applications, Key Laboratory of Non-Destructive Testing, Ministry of Education","Nanchang, 330063, China",Nanchang Hangkong University
"Engr. Research Center of Digitized Textile, Fashion Tech. for Ministry of Education, Donghua Univ.","Shanghai, China",Donghua University
Key Laboratory of Virtual Geographic Environment,"Nanjing Normal University, Ministry of Education, Nanjing 210023, China and State Key Laboratory Cultivation Base of Geographical Environment Evolution, Nanjing 210023, China and Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing 210023, China. (e-mail: renna1026@163.com)",Nanjing Normal University
"Frontier Science Research Center for Stem Cells, Ministry of Education",China,Unknown
"Key Laboratory of Western Mines and Hazards Prevention, Ministry of Education of China","Xi'an, China",Xi'an University of Science and Technology
"Engineering Research Center of Combustion and Cooling for Aerospace Power, Ministry of Education, College of Chemical Engineering",China,Unknown
"Key Laboratory of Post-trauma Neuro-repair, Regeneration in Central Nervous System, Ministry of Education","Tianjin, 300052, China",Tianjin Medical University
"School of Environmental Science and Engineering, Tianjin Univ., Ministry of Education Key Laboratory of Efficient Utilization of Low and Medium Grade Energy","Tianjin, 300072, China",Tianjin University
"Key Laboratory of Green Chemical Process, Ministry of Education-Hubei Key Laboratory of Novel Chemical Reactor and Green Chemical Technology, Wuhan Institute of Technology","Wuhan, 430073, China",Wuhan Institute of Technology
"Key Laboratory of Eco-Environment-Related Polymer Materials, Ministry of Education of China","703370, Gansu, China",Northwest Normal University
"The National Key Clinical Specialty, The Engineering Technology Research Center of Education Ministry of China, Guangdong Provincial Key Laboratory on Brain Function Repair and Regeneration","Guangzhou, China",Unknown
"Key Laboratory of Extreme Environmental Medicine, Ministry of Education of China",China,Unknown
"College of Environmental Science and Engineering, Nankai Univ./Key Lab. of Pollution Processes and Environmental Criteria, Ministry of Education","Tianjin, 300071, 94 Weijin Road, China",Nankai University
"Engineering Research Center, Efficient Utiliz. of Mod. Agric. Water Resources in Arid Regions under the Ministry of Education","Ningxia, Yinchuan, 750021, China",Ningxia University
"Key Laboratory of Pesticide and Chemical Biology, Ministry of Education, College of Chemistry","Wuhan 430079, China",Wuhan University
"China Key Laboratory of Southwest Wildlife Resources Protection, Ministry of Education","Sichuan, Nanchong, 637009, China",China West Normal University
"Key Laboratory of Southwest Land Resource Assessment and Monitoring, Ministry of Education","Chengdu, 610066, China",Unknown
"Key Laboratory of Cardiovascular Remodeling and Function Research, Chinese Ministry of Education, Chinese Ministry of Health","Shandong, China",Shandong University
"Key Laboratory of Environment and Genes Related to Diseases, Ministry of Education","Xian, China",Unknown
"Key Laboratory of Biorheological Science and Technology (Chongqing), Ministry of Education","Chongqing, 400045, China",Chongqing University
"Key Lab of Power System Intelligent Dispatch and Control, Ministry of Education","Jinan, 250061, China",Shandong University
"Key Laboratory of Bioactive Substances and Resources Utilization of Chinese Herbal Medicine, Ministry of Education","Haidian District, Beijing 100193, No. 151, Malianwa North Road, China",Beijing Normal University
"MicroNano System Research Center, Ministry of Education, Key Lab of Advanced Transducers and Intelligent Control System, College of Information Engineering and Taiyuan Univ. of Technology","Taiyuan 030024, Shanxi, China",Taiyuan University of Technology
"Ministry of Education, Zhengzhou Xinda Institute of Advanced Technology, Key Laboratory of Smart Farming for Agricultural Animals, Engineering Research Center of Intelligent Technology for Agriculture","Henan, Zhengzhou, 450001, China",Zhengzhou Xinda Institute of Advanced Technology
"Ministry of Education Key Laboratory of Electronic and Information Technology in Satellite Navigation, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Department of Gynecology and Obstetrics, Ministry of Education, West China Second Hospital","Chengdu, 610041, China","West China Second Hospital, Sichuan University"
"The State Key Laboratory Breeding Base of Basic Science of Stomatology & Key Laboratory of Oral Biomedicine, Ministry of Education, School and Hospital of Stomatology, Wuhan Universit","Wuhan, China",Wuhan University
"Key Laboratory of Geospace Environment and Geodesy, Ministry of Education","China, Wuhan, China",Wuhan University
"Key Lab. of Condition Monitoring, Control for Power Plant Equipment of Minist. of Education (North China Electric Power Univ.)","Beijing, 102206, China",North China Electric Power University
The Key Laboratory of Resource Chemistry of the Ministry of Education,"Shanghai, China",East China Normal University
"Key Laboratory of Agricultural Animal Genetics, Breeding and Reproduction of the Ministry of Education","Wuhan 430070, China",Huazhong Agricultural University
"Western Center for Disaster Mitigation in Civil Engineering, Ministry of Education","Lanzhou 730050, China",Lanzhou University
"The Key Laboratory of Food Science and Safety, Ministry of Education, School of Food Science and Technology","Wuxi, 214122, No. 1800, Lihu Road, Jiang Su, China",Jiangnan University
Key Laboratory of Optoelectronic Measurement and Control and Optical Information Transmission Technology Ministry of Education,"Changchun, 130022, China",Unknown
"Key Laboratory of Poyang Lake Ecology and Bio-Resource Utilization, Ministry of Education, School of Environmental Science and Engineering","Nanchang, Jiangxi 330029, China",Nanchang University
"The Key Laboratory of Myocardial Ischemia, Ministry of Education","Heilongjiang, Harbin, China",Harbin Medical University
"Department of Rehabilitation, National Clinical Research Center for Child Health and Disorders, Ministry of Education Key Laboratory of Child Development and Disorders, Chongqing Key Laboratory of Pediatrics",China,Unknown
"Key Laboratory for Green Chemical Technology of the Ministry of Education, School of Chemical Engineering and Technology, Tianjin Unviersity","Tianjin, 300072, China",Tianjin University
"School of Pharmaceutical Sciences & Key Laboratory of Advanced Drug Preparation Technologies, Ministry of Education","Zhengzhou, 450001, China",Unknown
"Pharmaceutical Research Institute, Key Laboratory of Green Chemical Engineering Process of Ministry of Education, School of Chemical Engineering and Pharmacy, Wuhan Institute of Technology","Wuhan, 430205, China",Wuhan Institute of Technology
"Key Laboratory of Microsystems and Microstructures Manufacturing, Academy of Fundamental and Interdisciplinary Science, Ministry of Education","Harbin, 150080, China",Harbin Institute of Technology
"Non-equilibrium Condensed Matter and Quantum Engineering Laboratory, the Key Laboratory, Ministry of Education","Shann Xi, Xi'an 710049, China",Unknown
"Institute of Changjiang Water Environment and Ecological Security, School of Environmental Ecology and Biological Engineering, Key Laboratory for Green Chemical Process of Ministry of Education, Hubei Key Laboratory of Novel Reactor and Green Chemical Technology, Wuhan Institute of Technology","Wuhan, 430205, China",Wuhan Institute of Technology
"Key Laboratory, the Ministry of Education for Experimental Teratology, Department of Histology and Embryology","Jinan, 250012 Shandong, China",Shandong University
"Key Lab of Biopesticide and Chemical Biology, Ministry of Education","Fujian Province, Fuzhou, China",Fujian Agriculture and Forestry University
"Key Laboratory for Earth Surface Processes, Ministry of Education","Beijing, China",Peking University
"Collaborative Innovation Center on Forecast and Evaluation of Meteorological Disasters, Key Lab. of Meteorological Disaster, Ministry of Education, and Earth System Modeling Center, Nanjing International Academy of Meteorological Sciences, Nanjing Univ. of Inf. Science and Tech.","Nanjing, China",Nanjing University of Information Science and Technology
Digital Community Ministry of Education Engineering Research Center,"Beijing, 100124, China",Unknown
"Key Laboratory of Eco-Environment-Related Polymer Materials, Ministry of Education China","Gansu, 730070, China",Lanzhou University
"Laboratory of Functional Molecular Solids, Ministry of Education, Anhui Laboratory of Molecule-Based Materials","Wuhu, Anhui 241000, China",Anhui Normal University
"Key Lab of Microsystem and Microstructure (Ministry of Education), Academy of Fundamental and Interdisciplinary Sciences, Harbin Institute of Technology","Harbin, 150080, China",Harbin Institute of Technology
"Engineering Research Center of Digitized Textile & Fashion Technology, Ministry of Education",China,Unknown
"Key Laboratory of Systems Bioengineering, Ministry of Education, School of Chemical Engineering and Technology",China,Tianjin University
"Key Laboratory of Biogeology and Environmental Geology of Ministry of Education, China Univ. of Geosciences","Wuhan 430074, China",China University of Geosciences
"Key Laboratory of Automobile Materials, Ministry of Education, College of Materials Science and Engineering","Changchun, 130012, China",Jilin University
"Key Laboratory of Fluid Mechanics, Ministry of Education","Beijing, 100191, China",Peking University
"Shanghai Yangtze River Delta Eco-Environmental Change and Management Observation and Research Station, Ministry of Education","800 Dongchuan Rd., Shanghai, 200240, China",Shanghai Jiao Tong University
"Key Laboratory for Bio-Resource and Eco-Environment, Ministry of Education, State Key Lab. of Hydraulics and Mountain River Engineering/College of Life Science, Sichuan Univ.","Chengdu 610064, China",Sichuan University
"Key Laboratory of Environmental Biology and Pollution Control, Hunan Univeristy, Ministry of Education","Changsha, 410082, China",Hunan University
"Key Laboratory of Catalysis and Materials Science of the State Ethnic Affairs Commission, Ministry of Education","Hubei Province, Wuhan 430074, China",South-Central University for Nationalities
"Key Laboratory of Western Arid Region Grassland Resources and Ecology, Ministry of Education",China,Gansu Agricultural University
"Engineering Research Center of Efficient Use of Water Resources in Arid Modern Agriculture, Ministry of Education","Yinchuan 750021, China",Unknown
"Key Lab. Quant. Info. Measurements, Ministry of Education",China,Unknown
"Key Laboratory of Integrated Regulation and Resource Development on Shallow Lakes, Ministry of Education of China","Nanjing, 210098, China",Nanjing University
"Key Lab of Terahertz Optoelectronics, Ministry of Education","Beijing, China",Unknown
"Key Laboratory of Structures Dynamic Behavior and Control of Ministry of Education, Harbin Institute of Technology","Harbin, 150090, Heilongjiang, China",Harbin Institute of Technology
"Key Laboratory Industrial Biotechnology, Ministry of Education","Wuxi 214036, China",Jiangnan University
"Key Laboratory of Tropical Diseases Control, Ministry of Education","Guangzhou, 510080, China",Sun Yat-sen University
"Key Laboratory of Anti-inflammatory and Immunological Drugs, Ministry of Education","Hefei, China",University of Science and Technology of China
"Key Lab. of Complex System Analysis Management and Decision, Ministry of Education",China,Unknown
Ministry of Education,"Singapore, China",Unknown
"Engineering Research Center of Digitized Textile Apparel Technology, Ministry of Education","Shanghai, 201620, China",Donghua University
"Ministry of Education, Engineering Research Center of Intelligent Technology and Educational Application","Beijing, 100875, China",Beijing Normal University
"Key Laboratory of Advanced Optoelectronic Quantum Architecture and Measurement, Ministry of Education, School of Physics, 333Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of High-Confidence Software Technologies, Ministry of Education, Peking Univeristy","Beijing, China",Peking University
"Ministry of Education Key Laboratory of Child Development and Disorders, Key Laboratory of Pediatrics in Chongqing, CSTC2009CA5002, Chongqing International Science and Technology Cooperation Center for Child Development and Disorders","Chongqing, 400014, China",Unknown
"Oncological Research Laboratory, Key Laboratory of Environment and Genes Related to Diseases, Ministry of Education of the People's Republic of China","Xi'an 710061, China",Xi'an Jiaotong University
"Key Laboratory for Green Chemical Process, Wuhan Institute of Technology, Ministry of Education","Wuhan, 430073, Xiongchu Road, Hongshan District, China",Wuhan Institute of Technology
